product_id,product_name,actual_price,discounted_price,discounted_amount,discount_percentage,category,subcategory,rating,rating_count,ranking
B09FZ89DK6,"Eureka Forbes Supervac 1600 Watts Powerful Suction,bagless Vacuum Cleaner with cyclonic Technology,7 Accessories,1 Year Warranty,Compact,Lightweight & Easy to use (Red)",119.99,71.99,48.0,0.4,Home & Kitchen,Kitchen & Home Appliances,4.2,1191.0,Very Good
B0811VCGL5,"Mi Air Purifier 3 with True HEPA Filter, removes air pollutants, smoke, odor, bacteria & viruses with 99.97% efficiency, coverage area up to 484 sq. ft., Wi-Fi & Voice control - Alexa/GA (white)",155.99,119.64,36.35000000000001,0.23,Home & Kitchen,"Heating, Cooling & Air Quality",4.3,4049.0,Very Good
B07FXLC2G2,"Tata Swach Bulb 6000-Litre Cartridge, 1 Piece, White, Hollow Fiber Membrane",8.39,8.38,0.009999999999999787,0.0,Home & Kitchen,Kitchen & Home Appliances,4.2,3160.0,Very Good
B01LYU3BZF,Havells Ambrose 1200mm Ceiling Fan (Gold Mist Wood),38.28,26.39,11.89,0.31,Home & Kitchen,"Heating, Cooling & Air Quality",4.3,9650.0,Very Good
B083RC4WFJ,"PrettyKrafts Laundry Bag / Basket for Dirty Clothes, Folding Round Laundry Bag,Set of 2, Black Wave",9.59,3.84,5.75,0.6,Home & Kitchen,Home Storage & Organization,4.2,3846.0,Very Good
B09SFRNKSR,"FABWARE Lint Remover for Clothes - Sticky Lint Roller for Clothes, Furniture, Wool, Coat, Car Seats, Carpet, Fabric, Dust Cleaner, Pet Hair Remover with 1 Handle & 1 Refill Total 60 Sheets & 1 Cover",5.99,3.58,2.41,0.4,Home & Kitchen,Kitchen & Home Appliances,4.4,290.0,Very Good
B07NRTCDS5,Brayden Fito Atom Rechargeable Smoothie Blender with 2000 mAh Battery and 3.7V Motor with 400ml Tritan Jar (Blue),17.99,14.39,3.599999999999998,0.2,Home & Kitchen,Kitchen & Home Appliances,3.8,2206.0,Good
B07SPVMSC6,Bajaj Frore 1200 mm Ceiling Fan (Brown),31.92,16.79,15.130000000000003,0.47,Home & Kitchen,"Heating, Cooling & Air Quality",4.1,9349.0,Very Good
B09H3BXWTK,"Venus Digital Kitchen Weighing Scale & Food Weight Machine for Health, Fitness, Home Baking & Cooking Scale, 2 Year Warranty & Battery Included (Weighing Scale Without Bowl) Capacity 10 Kg, 1 Gm",33.59,7.19,26.400000000000002,0.79,Home & Kitchen,Kitchen & Home Appliances,3.9,578.0,Good
B0073QGKAS,Bajaj ATX 4 750-Watt Pop-up Toaster (White),17.99,17.99,0.0,0.0,Home & Kitchen,Kitchen & Home Appliances,4.3,9331.0,Very Good
B08GJ57MKL,"Coway Professional Air Purifier for Home, Longest Filter Life 8500 Hrs, Green True HEPA Filter, Traps 99.99% Virus & PM 0.1 Particles, Warranty 7 Years (AirMega 150 (AP-1019C))",718.8,172.8,546.0,0.76,Home & Kitchen,"Heating, Cooling & Air Quality",4.4,3837.0,Very Good
B009DA69W6,KENT Gold Optima Gravity Water Purifier (11016) | UF Technology Based | Non-Electric & Chemical Free | Counter Top | 10L Storage | White,22.8,20.39,2.41,0.11,Home & Kitchen,Kitchen & Home Appliances,3.6,11456.0,Good
B099PR2GQJ,HOMEPACK 750W Radiant Room Home Office Heaters For Winter,11.99,7.79,4.2,0.35,Home & Kitchen,"Heating, Cooling & Air Quality",3.8,49.0,Good
B08G8H8DPL,"Bajaj Rex 750W Mixer Grinder with Nutri Pro Feature, 4 Jars, White",76.5,38.99,37.51,0.49,Home & Kitchen,Kitchen & Home Appliances,4.0,4978.0,Very Good
B08VGM3YMF,"Heart Home Waterproof Round Non Wovan Laundry Bag/Hamper|Metalic Printed With Handles|Foldable Bin & 45 Liter Capicity|Size 37 x 37 x 49, Pack of 1 (Grey & Black)-HEARTXY11447",5.99,2.39,3.6,0.6,Home & Kitchen,Home Storage & Organization,4.1,1996.0,Very Good
B08TTRVWKY,"MILTON Smart Egg Boiler 360-Watts (Transparent and Silver Grey), Boil Up to 7 Eggs",22.79,13.19,9.6,0.42,Home & Kitchen,Kitchen & Home Appliances,4.3,1811.0,Very Good
B07T4D9FNY,"iBELL SEK15L Premium 1.5 Litre Stainless Steel Electric Kettle,1500W Auto Cut-Off Feature,Silver with Black",17.88,7.97,9.91,0.55,Home & Kitchen,Kitchen & Home Appliances,4.0,2198.0,Very Good
B07RX42D3D,Tosaa T2STSR Sandwich Gas Toaster Regular (Black),4.2,3.12,1.08,0.26,Home & Kitchen,Kitchen & Home Appliances,3.9,13127.0,Good
B08WRKSF9D,"V-Guard Divino 5 Star Rated 15 Litre Storage Water Heater (Geyser) with Advanced Safety Features, White",102.0,77.99,24.010000000000005,0.24,Home & Kitchen,"Heating, Cooling & Air Quality",4.4,5865.0,Very Good
B09R83SFYV,"Akiara® - Makes life easy Mini Sewing Machine with Table Set | Tailoring Machine | Hand Sewing Machine with extension table, foot pedal, adapter",29.99,17.81,12.18,0.41,Home & Kitchen,Kitchen & Home Appliances,3.7,1067.0,Good
B07989VV5K,"Usha Steam Pro SI 3713, 1300 W Steam Iron, Powerful steam Output up to 18 g/min, Non-Stick Soleplate (White & Blue)",18.72,11.99,6.729999999999999,0.36,Home & Kitchen,Kitchen & Home Appliances,3.6,4881.0,Good
B07FL3WRX5,"Wonderchef Nutri-blend Complete Kitchen Machine | 22000 RPM Mixer Grinder, Blender, Chopper, Juicer | 400W Powerful motor | SS Blades | 4 Unbreakable Jars | 2 Years Warranty | Online Recipe Book By Chef Sanjeev Kapoor | Black",78.0,39.59,38.41,0.49,Home & Kitchen,Kitchen & Home Appliances,3.7,11217.0,Good
B0BPCJM7TB,"WIDEWINGS Electric Handheld Milk Wand Mixer Frother for Latte Coffee Hot Milk, Milk Frother for Coffee, Egg Beater, Hand Blender, Coffee Beater with Stand",11.99,3.11,8.88,0.74,Home & Kitchen,Kitchen & Home Appliances,4.0,43.0,Very Good
B08H673XKN,"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",93.54,38.99,54.550000000000004,0.58,Home & Kitchen,Kitchen & Home Appliances,4.2,4664.0,Very Good
B07DXRGWDJ,"Philips Handheld Garment Steamer GC360/30 - Vertical & Horizontal Steaming, 1200 Watt, up to 22g/min",71.94,51.36,20.58,0.29,Home & Kitchen,Kitchen & Home Appliances,3.8,2112.0,Good
B08243SKCK,"Vedini Transparent Empty Refillable Reusable Fine Mist Spray Bottle for Perfume, Travel with DIY Sticker Set ( 100ml, Pack of 4)",3.59,2.27,1.3199999999999998,0.37,Home & Kitchen,Home Storage & Organization,4.2,2737.0,Very Good
B09SPTNG58,"Crompton Sea Sapphira 1200 mm Ultra High Speed 3 Blade Ceiling Fan (Lustre Brown, Pack of 1)",28.19,17.39,10.8,0.38,Home & Kitchen,"Heating, Cooling & Air Quality",3.9,9019.0,Good
B083J64CBB,"Kuber Industries Waterproof Canvas Laundry Bag/Hamper|Metalic Printed With Handles|Foldable Bin & 45 Liter Capicity|Size 37 x 37 x 46, Pack of 1 (Brown)",5.99,2.39,3.6,0.6,Home & Kitchen,Home Storage & Organization,4.0,10234.0,Very Good
B08JV91JTK,JM SELLER 180 W 2021 Edition Electric Beater High Speed Hand Mixer Egg Beater for Cake Making and Whipping Cream with 7 Speed Control (White) with Free Spatula and Oil Brush,15.59,5.69,9.899999999999999,0.64,Home & Kitchen,Kitchen & Home Appliances,4.1,550.0,Very Good
B0BQ3K23Y1,"Oratech Coffee Frother electric, milk frother electric, coffee beater, cappuccino maker, Coffee Foamer, Mocktail Mixer, Coffee Foam Maker, coffee whisker electric, Froth Maker, coffee stirrers electric, coffee frothers, Coffee Blender, (6 Month Warranty) (Multicolour)",5.99,3.35,2.64,0.44,Home & Kitchen,Kitchen & Home Appliances,4.8,28.0,Very Good
